date,venue,venue_code,race_number,scheduled_start_time,race_id,title,formation,ticket_count,combined_odds,estimated_hit_rate,selected_tickets_text,hit,actual_ticket,actual_payout_units,stake_units,return_units,profit_units,dutch_profit_units,scenario_type,risk_level,asof_label,odds_policy_status
2026-01-04,小松島,73,6,,20260104-73-06,????3??,6-4-2 / 6-2-4 / 2-4-7 / 2-6-7 / 2-7-6 / 2-4-1 / 2-7-4 / 6-2-7 / 6-2-3 / 6-2-1 / 2-1-7,11,2.8758724592411298,0.22500454610400006,6-4-2|6-2-4|2-4-7|2-6-7|2-7-6|2-4-1|2-7-4|6-2-7|6-2-3|6-2-1|2-1-7,True,2-4-1,14.4,11.0,14.4,3.4000000000000004,1.8758724592411298,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-04,小松島,73,7,,20260104-73-07,????3??,4-2-5 / 2-3-5 / 2-4-5 / 4-5-3 / 2-5-7 / 5-3-7 / 5-2-6 / 3-5-4 / 4-5-2 / 5-4-7 / 5-2-1 / 3-5-2,12,5.456062978630903,0.18164662328799996,4-2-5|2-3-5|2-4-5|4-5-3|2-5-7|5-3-7|5-2-6|3-5-4|4-5-2|5-4-7|5-2-1|3-5-2,False,5-3-4,0.0,12.0,0.0,-12.0,-1.0,ev_cap100_odds10_100__n12,pred_roi=0.055,final,final_odds_research
2026-01-05,いわき平,13,5,,20260105-13-05,????3??,4-5-1 / 4-1-5 / 1-4-5 / 4-5-3 / 4-5-2 / 1-5-4 / 5-3-4 / 4-2-5 / 4-1-2 / 1-4-3 / 2-5-4,11,2.265869816888021,0.25605786531,4-5-1|4-1-5|1-4-5|4-5-3|4-5-2|1-5-4|5-3-4|4-2-5|4-1-2|1-4-3|2-5-4,False,2-4-5,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-05,いわき平,13,10,,20260105-13-10,????3??,1-5-6 / 7-1-5 / 6-7-1 / 1-6-2 / 7-4-1 / 1-5-7 / 1-4-5 / 7-1-4 / 7-6-1 / 6-1-4 / 1-3-7 / 6-1-7,12,5.687682711635323,0.17379520086699998,1-5-6|7-1-5|6-7-1|1-6-2|7-4-1|1-5-7|1-4-5|7-1-4|7-6-1|6-1-4|1-3-7|6-1-7,False,1-7-6,0.0,12.0,0.0,-12.0,-1.0,ev_cap100_odds10_150__n12,pred_roi=0.181,final,final_odds_research
2026-01-05,玉野,61,5,,20260105-61-05,????3??,5-2-4 / 2-5-1 / 5-1-4 / 2-1-5 / 1-2-5 / 5-4-2 / 5-2-7 / 2-4-5 / 5-7-2 / 2-7-5 / 5-3-2 / 5-1-7 / 5-2-3 / 1-5-7 / 1-5-4 / 5-3-1 / 5-1-3 / 2-1-7 / 4-5-2,19,1.8295521795872904,0.35052539620500006,5-2-4|2-5-1|5-1-4|2-1-5|1-2-5|5-4-2|5-2-7|2-4-5|5-7-2|2-7-5|5-3-2|5-1-7|5-2-3|1-5-7|1-5-4|5-3-1|5-1-3|2-1-7|4-5-2,True,5-1-3,48.4,19.0,48.4,29.4,0.8295521795872904,girls_selector_model: ranks 1|2|3|4|5|6|7|8|11|13|14|16|17|19|20|24|25|29|30,pred_roi=0.000,final,final_odds_research
2026-01-05,玉野,61,6,,20260105-61-06,????3??,1-7-2 / 7-2-1 / 1-7-4 / 1-2-7 / 7-4-1 / 1-4-7 / 1-4-2 / 4-7-1 / 1-7-5 / 1-2-4 / 1-5-7 / 7-1-5,12,1.8496340857926463,0.303330934225,1-7-2|7-2-1|1-7-4|1-2-7|7-4-1|1-4-7|1-4-2|4-7-1|1-7-5|1-2-4|1-5-7|7-1-5,False,2-3-5,0.0,12.0,0.0,-12.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|14|9|11|12,pred_roi=0.029,final,final_odds_research
2026-01-05,小松島,73,5,,20260105-73-05,????3??,1-4-7 / 6-2-4 / 2-4-5 / 2-4-7 / 6-1-4 / 4-3-5 / 2-6-1 / 1-6-2 / 4-7-1 / 1-2-6,10,12.720996525322448,0.06738571635599999,1-4-7|6-2-4|2-4-5|2-4-7|6-1-4|4-3-5|2-6-1|1-6-2|4-7-1|1-2-6,False,5-4-6,0.0,10.0,0.0,-10.0,-1.0,mid_value_odds10_150__n10,pred_roi=0.000,final,final_odds_research
2026-01-05,小松島,73,11,,20260105-73-11,????3??,7-1-5 / 7-6-1 / 7-1-2 / 1-7-6 / 7-5-1 / 7-6-5 / 6-1-7 / 7-2-6 / 1-7-2 / 7-2-5 / 7-5-4,11,2.2036600731719918,0.23531079141500003,7-1-5|7-6-1|7-1-2|1-7-6|7-5-1|7-6-5|6-1-7|7-2-6|1-7-2|7-2-5|7-5-4,False,4-2-1,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-06,玉野,61,4,,20260106-61-04,????3??,3-5-7 / 5-3-7 / 5-4-3 / 5-6-4 / 1-7-5 / 7-6-1 / 1-6-3 / 1-6-5 / 3-5-2 / 6-7-3 / 6-7-5 / 6-5-1,12,4.878926831712045,0.123178112638,3-5-7|5-3-7|5-4-3|5-6-4|1-7-5|7-6-1|1-6-3|1-6-5|3-5-2|6-7-3|6-7-5|6-5-1,False,5-6-7,0.0,12.0,0.0,-12.0,-1.0,ticket_model,pred_roi=0.000,final,final_odds_research
2026-01-06,玉野,61,10,,20260106-61-10,????3??,3-1-6 / 3-6-1 / 3-1-4 / 1-3-6 / 6-3-1 / 6-1-3 / 6-4-3 / 1-3-4 / 6-3-5 / 3-5-6 / 1-6-5,11,2.287869332927013,0.23425028629100003,3-1-6|3-6-1|3-1-4|1-3-6|6-3-1|6-1-3|6-4-3|1-3-4|6-3-5|3-5-6|1-6-5,False,3-4-6,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
