race_id,date,month,venue,race_number,strategy,selected_count,total_stake_units,stake_units,return_units,profit_units,hit,selected_tickets,selected_odds,actual_ticket,actual_payout_units,source_sequence,stake_mode,girls_rain_surface_penalty,girls_venue_is_400m_bank,race_margin_chaos_score,girls_venue_is_short_bank,race_market_entropy_score,girls_race_stage_general,promotion_market_overbet_risk,girls_race_stage_final,girls_market_top_probability,girls_field_top_point_gap,girls_crosswind_component,girls_market_entropy,girls_venue_is_500m_bank,girls_race_stage_qualifying,girls_venue_bank_exposure,girls_tailwind_component,girls_venue_bank_length_m,girls_headwind_component,girls_field_point_stddev,gate_pass,source_candidate,risk_guard,risk_guard_pass,risk_guard_field,risk_guard_value,risk_guard_scale,original_stake_units,original_return_units
20260104-73-06,2026-01-04,2026-01,小松島,6,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,14.4,-0.6,True,2-4-6|2-6-4|2-4-1|2-4-7|7-2-4|1-4-2|2-1-7|6-2-7|4-2-3|1-2-4|6-2-3|6-2-4|4-2-7|2-3-4|6-2-1,5.6|6.2|14.4|17.3|336.2|475.5|82.1|55.7|70.4|302.2|83.9|22.7|52.4|62.6|46.9,2-4-1,14.4,base|sleeve,source,0.0,1.0,0.400571,0.0,0.695509,0.0,0.0,0.0,0.133285144974,1.18,0.0,0.695509113382,0.0,1.0,1.15,0.0,400.0,0.0,2.700089945592,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,14.4
20260104-73-07,2026-01-04,2026-01,小松島,7,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,-15,False,5-2-4|5-2-3|5-4-2|5-3-2|2-4-3|2-3-4|2-3-5|2-5-3|4-5-3|4-2-5|3-4-2|5-2-1|2-4-5|5-2-6|3-5-4,3.8|4.7|6.9|9.5|153.9|179.4|89.4|27.8|89.5|93.8|357.3|62.9|71.5|68.6|64.1,,0,base|sleeve,source,0.0,1.0,0.386117,0.0,0.592988,0.0,0.0,0.0,0.195720865678,2.44,0.0,0.59298806453,0.0,1.0,1.15,0.0,400.0,0.0,3.475407478679,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,0.0
20260105-13-05,2026-01-05,2026-01,いわき平,5,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,4-5-1|4-1-5|4-5-3|1-4-5|5-3-2|3-1-5|3-5-1|5-2-1|1-5-6|3-4-6|4-6-3|1-2-3|5-3-4,11.3|13|2|20.6|242.5|202.5|216|248.8|231.3|277.1|241.4|182.4|89.2,,0,base|sleeve,source,0.0,1.0,0.398514,0.0,0.825685,1.0,0.0,0.0,0.066261316261,2.72,0.0,0.825685119554,0.0,0.0,1.15,0.0,400.0,0.0,16.878040436603,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260105-13-10,2026-01-05,2026-01,いわき平,10,pre_roll_cap15_overlay_s3_full_through_20260702,16,16,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,3.3,-12.7,True,1-7-6|1-6-7|1-7-4|1-7-5|6-1-7|1-4-7|7-1-5|7-1-4|1-6-5|7-1-6|1-6-3|1-6-4|1-7-3|1-5-7|1-6-2|1-5-6,3.3|5.6|9.4|14.6|43|25.4|71.3|52.7|29|19.3|50.4|17.9|24.8|56.4|85.4|78.4,1-7-6,3.3,base|sleeve,source,0.0,1.0,0.339147,0.0,0.622054,0.0,0.0,1.0,0.226801070566,1.53,0.0,0.622054205239,0.0,0.0,1.15,0.0,400.0,0.0,3.348784122938,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,3.3
20260105-61-05,2026-01-05,2026-01,玉野,5,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,-15,False,5-2-1|5-1-2|5-2-4|5-1-4|1-4-2|1-7-2|5-4-3|5-7-4|2-7-1|1-5-7|2-4-1|2-4-5|5-3-1|5-2-7|1-5-4,5.3|6.9|11.2|12.9|239.6|429.7|89.5|72.3|399.8|74.6|211.5|95.8|93.8|21.4|47,,0,base|sleeve,source,0.0,1.0,0.401215,0.0,0.690546,0.0,0.0,0.0,0.140930725625,1.71,0.0,0.69054600016,0.0,1.0,1.15,0.0,400.0,0.0,2.613442486961,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,0.0
20260105-61-06,2026-01-05,2026-01,玉野,6,pre_roll_cap15_overlay_s3_full_through_20260702,15,15,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,-15,False,7-1-2|7-1-4|1-7-2|7-2-1|5-7-1|2-4-1|2-5-7|4-7-1|2-4-7|2-7-1|7-2-3|7-2-4|7-5-4|1-4-7|7-5-2,6.5|8.2|10.8|11.8|390.2|318.2|390.2|95.8|211|82.8|69|25.3|94.1|25.9|80.3,,0,base|sleeve,source,0.0,1.0,0.435922,0.0,0.701273,0.0,0.0,0.0,0.115050059348,1.24,0.0,0.701273106032,0.0,1.0,1.15,0.0,400.0,0.0,3.304618907295,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,33.0,0.0
20260105-73-05,2026-01-05,2026-01,小松島,5,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,4-1-2|4-1-6|4-2-1|4-6-1|1-2-3|1-2-5|1-6-7|2-1-5|1-4-5|6-2-1|6-4-5|1-6-2|4-6-7,7.7|10.2|10.9|15.5|257.1|266.5|215.1|293.6|93.1|193.3|214.4|121.6|95.6,,0,base|sleeve,source,0.0,1.0,0.470111,0.0,0.758139,1.0,0.0,0.0,0.097151035344,2.63,0.0,0.758139227681,0.0,0.0,1.15,0.0,400.0,0.0,2.235963929467,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260105-73-11,2026-01-05,2026-01,小松島,11,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,7-1-6|7-1-5|7-6-1|7-1-2|6-1-2|6-1-5|1-5-4|1-6-4|5-6-7|4-1-7|6-5-7|1-3-7|6-7-2,8.6|10.2|12.6|18.1|256.4|215.7|237.6|223.1|199.8|256.5|178.7|201.8|96,,0,base|sleeve,source,0.0,1.0,0.443895,0.0,0.785278,0.0,0.0,1.0,0.087047962243,2.15,0.0,0.785277692492,0.0,0.0,1.15,0.0,400.0,0.0,2.093798423138,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260106-61-04,2026-01-06,2026-01,玉野,4,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,3-5-7|5-3-7|3-5-6|5-3-6|7-1-5|7-1-3|5-4-3|3-4-5|7-3-4|7-1-6|6-1-5|6-1-7|6-3-7,13.3|16.2|18.3|20.7|164.6|162.9|248.6|232.8|247.4|195.3|183.5|236.2|95.3,,0,base|sleeve,source,0.0,1.0,0.523517,0.0,0.822293,1.0,0.0,0.0,0.056312953642,0.18,0.0,0.822292588984,0.0,0.0,1.15,0.0,400.0,0.0,3.00819221596,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
20260106-61-10,2026-01-06,2026-01,玉野,10,pre_roll_cap15_overlay_s3_full_through_20260702,13,13,1|1|1|1|1|1|1|1|1|1|1|1|1,0,-13,False,3-1-6|3-1-4|1-3-4|1-3-6|4-5-3|5-3-1|3-7-1|1-7-3|4-3-5|4-5-1|4-3-6|6-5-4|6-4-1,13.7|16.1|16.4|16.6|299|168.1|276.7|288|172.1|235.9|138.3|236.3|88.9,,0,base|sleeve,source,0.0,1.0,0.430589,0.0,0.808487,0.0,0.0,1.0,0.054663203979,0.87,0.0,0.808486900126,0.0,0.0,1.15,0.0,400.0,0.0,2.17256830991,unknown,pre_roll_cap15_overlay_s3_full_through_20260702,__no_guard__,False,,,1.0,30.0,0.0
