strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,3,4-3-5,1,15.1,0.049586825852,0.049586825852,,0.748761070365,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,4,3-4-5,1,10.5,0.07131057813,0.07131057813,,0.748761070365,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,5,4-3-6,1,23.9,0.031328915078,0.031328915078,,0.748761070364,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-04,2026-01-02,松阪,4,6,3-4-6,1,16.6,0.045106088576,0.045106088576,,0.748761070362,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,1,1-5-3,1,138.4,0.005408689547,0.005408689547,,0.748562633305,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,2,1-5-6,1,135.7,0.00551630533,0.00551630533,,0.748562633281,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,3,6-3-5,1,134.5,0.005565521437,0.005565521437,,0.748562633276,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,4,1-2-5,1,130,0.005758174102,0.005758174102,,0.74856263326,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,5,6-1-4,1,133.5,0.005607210736,0.005607210736,,0.748562633256,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260102-47-10,2026-01-02,松阪,10,6,3-7-1,1,129.8,0.005767046481,0.005767046481,,0.748562633234,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,1,4-5-2,1,4.5,0.166175871092,0.166175871092,,0.747791419914,True,4.5,4.5,3.5,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,2,5-4-2,1,6.9,0.108375568103,0.108375568103,,0.747791419911,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,3,2-4-5,1,117.2,0.006380472866,0.006380472866,,0.747791419895,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,4,4-6-2,1,142.2,0.005258730098,0.005258730098,,0.747791419936,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,5,5-2-3,1,128.6,0.005814863296,0.005814863296,,0.747791419866,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-06,2026-01-03,いわき平,6,6,5-2-6,1,126.2,0.005925447067,0.005925447067,,0.747791419855,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,1,7-4-5,1,74.1,0.010039171061,0.010039171061,,0.74390257562,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,2,7-6-2,1,67.4,0.011037130202,0.011037130202,,0.743902575615,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,3,7-4-2,1,51.4,0.014472812755,0.014472812755,,0.743902575607,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,4,7-6-5,1,83.2,0.008941136726,0.008941136726,,0.743902575603,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,5,7-1-6,1,66.9,0.011119619964,0.011119619964,,0.743902575592,False,,0,-1,final,final_odds_research_only
